depth,age_ka,d18O
0.02,0,2.88
0.07,0.92,2.91
0.12,1.85,2.91
0.17,2.77,2.91
0.22,3.69,2.84
0.27,4.61,2.86
0.32,5.54,2.83
0.37,6.46,2.91
0.42,7.38,2.9
0.47,8.3,2.83
0.52,9.25,3.03
0.57,10.43,2.75
0.67,13.19,3.42
0.72,14.8,4.46
0.77,16.53,4.47
0.82,18.73,4.54
0.87,21.61,4.4
0.92,24.49,4.38
1.02,30.26,4.23
1.07,33.14,4.22
1.12,35.9,4.18
1.17,38.2,4.13
1.22,40.51,4.11
1.27,42.82,3.96
1.32,45.12,3.86
1.37,47.08,4.15
1.42,48.92,4.24
1.47,50.77,4.31
1.52,52.61,3.99
1.57,54.46,4.12
1.62,56.3,4.13
1.67,58.15,3.93
1.72,59.99,4.47
1.77,61.84,4.92
1.82,63.69,4.57
1.87,65.93,4.34
1.92,68.23,3.97
1.97,70.54,3.97
2.02,72.85,4.21
2.07,75.15,4.03
2.12,77.98,4.19
2.17,80.87,3.73
2.22,83.93,3.71
2.27,87.01,3.7
2.32,90.08,3.63
2.37,93.16,3.56
2.47,99.31,3.31
2.52,102.38,2.62
2.62,108.53,3.79
2.72,114.58,2.87
2.77,117.46,2.86
2.82,120.35,3.28
2.87,123.23,3.12
2.92,126.22,2.73
2.97,129.33,3.66
3.02,132.83,4.08
3.12,141.13,4.62
3.22,152.66,4.55
3.27,158.25,4.31
3.32,162.36,3.85
3.37,166.21,3.93
3.42,170.05,4.17
3.47,173.9,4.05
3.52,177.74,4.27
3.57,181.58,4.12
3.62,185.15,4.22
3.67,188.34,3.86
3.72,191.37,3.83
3.77,194.25,3.67
3.82,196.98,3.27
3.87,199.29,3.16
3.92,201.6,3.02
3.97,203.9,2.98
4.02,206.38,3.35
4.07,209.26,3.18
4.12,212.15,3.29
4.17,215.03,3.33
4.22,217.91,3.17
4.27,220.8,3.9
4.32,223.47,3.28
4.37,225.38,3.14
4.42,227.23,3.39
4.47,229.03,3.23
4.52,230.76,3.23
4.57,232.49,3.5
4.62,234.22,3.15
4.67,235.95,3.01
4.72,237.68,3.04
4.77,239.41,3.09
4.82,241.14,3.76
4.87,242.92,3.22
4.92,244.77,3.2
4.97,246.61,4.09
5.02,249.2,3.85
5.07,252.08,4.04
5.12,255.06,4.08
5.17,258.14,4.18
5.22,261.21,4.47
5.27,264.29,4.48
5.32,267.36,3.85
5.37,270.44,3.78
5.42,273.52,3.48
5.47,276.59,4.11
5.52,279.67,4.14
5.57,282.74,3.55
5.62,285.82,3.68
5.67,288.89,3.68
5.72,291.97,3.71
5.77,295.04,3.58
5.82,298.12,3.81
5.87,301.07,3.66
6.02,308.2,3.28
6.07,310.04,3.43
6.12,311.81,3.38
6.17,313.54,3.38
6.22,315.27,3.12
6.32,318.72,3.2
6.37,320.45,3.27
6.42,322.04,3.16
6.47,323.57,3.15
6.52,325.11,3.21
6.57,326.65,3.64
6.62,328.19,3.55
6.67,329.72,3.39
6.72,331.26,3.37
6.77,332.87,3.13
6.82,334.6,3.41
6.87,336.37,3.77
6.92,338.21,3.82
6.97,340.06,4.2
7.02,342.31,4.16
7.07,344.62,4.15
7.12,346.74,3.87
7.17,348.58,4.12
7.22,350.43,4.28
7.27,352.27,4.12
7.32,354.12,3.69
7.37,355.96,3.87
7.42,357.81,4.2
7.47,359.65,4.33
7.52,361.95,4.38
7.57,364.26,4.25
7.62,366.57,4.1
7.67,368.87,4.04
7.69,369.79,4.26
7.74,371.67,3.97
7.79,373.52,3.86
7.84,375.31,3.48
7.89,377.04,3.54
7.94,378.68,3.25
7.99,380.21,3.76
8.04,381.6,4.02
8.09,382.98,3.89
8.14,384.37,4.1
8.24,387.13,3.72
8.29,388.52,3.46
8.39,391.29,3.58
8.44,392.67,3.48
8.74,399.99,2.74
8.84,401.84,2.73
8.89,402.76,2.63
9.19,408.3,3.07
9.34,411.07,2.79
9.39,411.99,2.79
9.44,412.91,2.96
9.64,416.6,2.82
9.74,418.45,3.85
9.84,420.29,3.17
10.09,425.32,4.45
10.14,426.7,3.7
